Organization;Own BIC;Corr Bic;Status DateTime;Service;Pending;Valid From;Valid To;Version;History;Gen Meth;Type;Export Date;Issue Datetime;Status;Permission;Last modified by
P01HBS;ABSGCHGG;AEIBUS33;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-12-29T09:12:47Z;Enabled;;@Support
P01HBS;ABSGCHGG;AEIBUS33;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2008-12-29T16:17:37Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFKBTRIS;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-10-08T07:12:27Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFKBTRIS;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-10-05T11:03:09Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFRIMGMG;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-03T13:00:44Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFRIMGMG;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-08T05:28:42Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFRISNDA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-06-26T14:14:28Z;Enabled;;@Support
P01HBS;ABSGCHGG;AFRISNDA;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-06-29T09:12:01Z;Enabled;;@Support
P01HBS;ABSGCHGG;AGUBDZAL;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-01T15:39:26Z;Enabled;;@Support
P01HBS;ABSGCHGG;AGUBDZAL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-02T09:46:29Z;Enabled;;@Support
P01HBS;ABSGCHGG;AKBKTRIS;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-02-11T12:36:20Z;Enabled;;@Support
P01HBS;ABSGCHGG;AKBKTRIS;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-02-11T12:36:08Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALEXEGCX;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-02-28T12:51:01Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALEXEGCX;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-08-25T08:02:24Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALFBTRIS;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-11-04T08:20:50Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALFBTRIS;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-11-04T15:26:16Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALLFLULL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-01-15T13:38:51Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALLFLULL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-01-15T14:42:42Z;Enabled;;@Support
P01HBS;ABSGCHGG;ALUBTNTT;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2014-04-09T11:20:40Z;Enabled;;@Support
P01HBS;ABSGCHGG;AMIBBBBB;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2015-05-15T13:23:55Z;Enabled;;@Support
P01HBS;ABSGCHGG;AMIBBBBB;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2015-04-21T11:08:39Z;Enabled;;@Support
P01HBS;ABSGCHGG;ANTBIT2P;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-10-09T12:23:23Z;Enabled;;@Support
P01HBS;ABSGCHGG;ANTBIT2P;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2008-10-10T10:07:05Z;Enabled;;@Support
P01HBS;ABSGCHGG;ANZBAU3M;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-06-02T11:02:06Z;Enabled;;@Support
P01HBS;ABSGCHGG;ANZBAU3M;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-06-10T14:00:58Z;Enabled;;@Support
P01HBS;ABSGCHGG;APKSUAUK;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-12-09T12:41:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;APKSUAUK;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-12-05T09:10:42Z;Enabled;;@Support
P01HBS;ABSGCHGG;ARABEGCX;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-04-23T07:18:03Z;Enabled;;@Support
P01HBS;ABSGCHGG;ARBSCHZZ;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-01-14T13:58:10Z;Enabled;;@Support
P01HBS;ABSGCHGG;ARBSCHZZ;2015-12-29T15:06:56+01:00;swift.fin;;1/20/2011;;1;CUR;Imported;To Send;;2011-01-20T10:48:07Z;Enabled;;@Support
P01HBS;ABSGCHGG;AREBESMM;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-06-17T13:42:28Z;Enabled;;@Support
P01HBS;ABSGCHGG;AREBESMM;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-06-09T11:02:29Z;Enabled;;@Support
P01HBS;ABSGCHGG;ATSNSNDA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2014-07-16T10:02:11Z;Enabled;;@Support
P01HBS;ABSGCHGG;ATSNSNDA;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2014-07-25T10:26:21Z;Enabled;;@Support
P01HBS;ABSGCHGG;AUBOOMRU;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-10-31T08:34:08Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISAEAD;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-11-15T12:52:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISAEAD;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-10-28T12:09:10Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISHKHH;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-11-15T12:51:28Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISHKHH;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-10-28T12:09:10Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISINBB;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-08-12T09:45:16Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISINBB;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-10-28T12:09:11Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISSGSG;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-11-15T12:52:27Z;Enabled;;@Support
P01HBS;ABSGCHGG;AXISSGSG;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-10-28T12:09:11Z;Enabled;;@Support
P01HBS;ABSGCHGG;AZBAAFKA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2014-05-13T06:46:45Z;Enabled;;@Support
P01HBS;ABSGCHGG;AZBAAFKA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2014-05-10T10:03:13Z;Enabled;;@Support
P01HBS;ABSGCHGG;BADRDZAL;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-06T14:24:50Z;Enabled;;@Support
P01HBS;ABSGCHGG;BADRDZAL;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-06-15T08:35:49Z;Enabled;;@Support
P01HBS;ABSGCHGG;BAERCHZZ;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2014-01-31T13:02:33Z;Enabled;;@Support
P01HBS;ABSGCHGG;BAERCHZZ;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2014-01-31T15:03:57Z;Enabled;;@Support
P01HBS;ABSGCHGG;BALBBDDH;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-10-09T12:19:40Z;Enabled;;@Support
P01HBS;ABSGCHGG;BALBBDDH;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-03-11T08:28:12Z;Enabled;;@Support
P01HBS;ABSGCHGG;BAOBGWGW;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-08-13T13:20:42Z;Enabled;;@Support
P01HBS;ABSGCHGG;BAOBGWGW;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-11-07T14:30:58Z;Enabled;;@Support
P01HBS;ABSGCHGG;BARBAEAD;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-10-09T05:51:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;BARBGB2L;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-10-09T05:52:25Z;Enabled;;@Support
P01HBS;ABSGCHGG;BARBGB2L;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BARBINBB;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-03-20T14:06:25Z;Enabled;;@Support
P01HBS;ABSGCHGG;BARBINBB;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-03-20T06:41:27Z;Enabled;;@Support
P01HBS;ABSGCHGG;BASECH22;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-05-31T12:20:35Z;Enabled;;@Support
P01HBS;ABSGCHGG;BASECH22;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-05-11T07:30:26Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBCLMUMU;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-05-22T08:39:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBCLMUMU;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-05-24T08:23:39Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBHCUS3I;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;BBHCUS3I;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BBRUBEBB;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-04-03T11:29:32Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBRUBEBB;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-04-03T14:09:30Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAESMM;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-06-02T11:00:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAESMM;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-06-02T14:43:56Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAPRSJ;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-03-05T09:39:30Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAPRSJ;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-09T13:23:56Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAPYPA;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-08T09:40:38Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAPYPA;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-03-09T12:11:29Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAUYMM;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-07T13:33:12Z;Enabled;;@Support
P01HBS;ABSGCHGG;BBVAUYMM;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-02-07T16:08:52Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCCBAOLU;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2014-04-28T08:29:27Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCEYGB2L;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-03-29T14:09:32Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCEYGB2L;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-03-29T07:28:52Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCGECHGG;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;BCGECHGG;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BCITITMM;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;BCITITMM;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BCJUCH22;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-28T12:18:33Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCJUCH22;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-07-05T13:54:49Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCLUCH22;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2009-06-29T15:55:30Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCLUCH22;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2009-06-30T08:16:09Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMACGCG;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-09-12T11:31:24Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMACGCG;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-09-03T10:20:44Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMACMCX;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-09-03T10:20:54Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMAMAMC;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-04-19T12:08:55Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMAMAMC;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-05-16T09:35:17Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMAMRMR;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-09-12T11:31:37Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMAMRMR;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-09-03T10:21:03Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMASNDA;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-09-12T11:31:11Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMASNDA;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-09-03T10:21:12Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMRMXMM;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-20T12:25:04Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCMRMXMM;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2012-04-04T15:53:43Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCNNCH22;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-28T12:18:07Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCNNCH22;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-06-28T13:42:55Z;Enabled;+{8xx}+{7xx}+{6xx}+{5xx}+{4xx}+{3xx}+{2xx}+{1xx};@Support
P01HBS;ABSGCHGG;BCONPEPL;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2012-02-08T09:38:41Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCONPEPL;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-07-12T14:58:18Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCPOMAMC;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-04-19T12:09:50Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCPOMAMC;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-04-25T10:50:00Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCVLCH2L;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-28T12:16:45Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCVLCH2L;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;BCVSCH2L;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2011-06-28T12:17:34Z;Enabled;;@Support
P01HBS;ABSGCHGG;BCVSCH2L;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2011-06-30T13:31:40Z;Enabled;;@Support
P01HBS;ABSGCHGG;BDGLCH22;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2008-10-09T12:23:52Z;Enabled;;@Support
