CIF_name;BANK_NAME;SWIFT;SWIFT_4
TAIB BANK;;;
THOMSON REUTERS;;;
TOKYO MITSUBISHI;BANK OF TOKYO MITSUBISHI LTD;;BOTK
TOP CARD ;TOPCARD SERVICE AG;;
UBP;UNION BANCAIRE PRIVEE CBI-TDB, GENEVA;;UBPG
UBS;UBS AG, ZURIGO;UBSWCHZH;UBSW
UKRAINE;;;
UNB;UNION NATIONAL BANK;;UNBE
UNION BANK OF INDIA;UNION BANK OF INDIA;;UBIN
UNITED OVERSEAS BANK SINGAPORE;UNITED OVERSEAS BANK, HONG KONG;;UOVB
URALSIB BANK;;;
VALARTISTBANK GE;;;
VISECA CARD;VISECA CARD SERVICE SA;;
VTB BANK;;;
WELLS FARGO;WELLS FARGO BANK NA;;WFBI
YES BANK;;;
YINZHOU BANK;;;
ZURICH CANTONAL BANK ;ZUERCHER KB BC 700;ZKBKCHZZ;ZKBK
