ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
1.625 STGA 11-25;CH0140819845;STG11;14081984;111.15;;;20181227;111.15;;0;0;CHF;20181227;111.1;20180802;110.65;20111108;20251105;XSWX;BO;CH;0
1.625 STRAUMANN 13-20;CH0205276683;STM13;20527668;102.2;;;20181227;102.2;;0;0;CHF;20180122;103.9;20181227;102.2;20130426;20200427;XSWX;BO;CH;0
1.625 SWISSGRID 13-25;CH0204811100;SGD13;20481110;109.35;;;20181218;109.35;;0;0;CHF;20180117;110.5;20181012;107.9;20130128;20250127;XSWX;BO;CH;0
1.625 SYN 14-24;CH0240672227;SYN141;24067222;99.6;99.6;99.45;20190111;99.35;99.45;65000;90000;CHF;20180528;100.95;20180412;96.35;20140403;20241030;XSWX;BO;CH;0
1.625 UBLOX 15-21;CH0277442056;UBX15;27744205;99.05;100;99.05;20190111;100;100;95000;95000;CHF;20180427;104;20181126;98;20150423;20210423;XSWX;BO;CH;0
1.625 ZH 13-24;CH0221999813;ZUR131;22199981;110.05;110.05;110.05;20190111;109.9;110.05;500000;500000;CHF;20180116;110.55;20181106;109;20130924;20240923;XSWX;BO;CH;0
1.625 ZKB 12-27;CH0182484110;ZKB125;18248411;111.85;;;20181120;111.85;;0;0;CHF;20180529;112.35;20181120;110.2;20120410;20270407;XSWX;BO;CH;0
1.65 ZG KB 13-38;CH0208897592;ZG13;20889759;116.15;;;20130424;116.15;;0;0;CHF;;;;;20130314;20380330;XSWX;BO;CH;0
1.7 SG KB 17-99;CH0373476115;SGK172;37347611;99.8;;;20190110;99.75;;0;0;CHF;20180213;101.3;20180612;98.75;20171129;;XSWX;BO;CH;0
1.75 AXPO 16-24;CH0330143147;AXP16;33014314;103;103.05;102.75;20190111;102.75;102.75;120000;120000;CHF;20180117;104.3;20181212;101.8;20160728;20240527;XSWX;BO;CH;0
1.75 BAL 13-23;CH0200044821;BAL13;20004482;106.9;106.9;106.9;20190111;106.85;106.9;200000;200000;CHF;20180328;107.6;20181205;106.35;20130424;20230421;XSWX;BO;CH;0
1.75 BALIFE 17-99;CH0379610998;BAL17;37961099;101;101.4;101;20190111;101.25;101.3;215000;215000;CHF;20180115;102.35;20181207;99.65;20170915;;XSWX;BO;CH;0
1.75 BELL 13-22;CH0212267337;BEL131;21226733;105.25;;;20190110;105.25;;0;0;CHF;20180116;107.4;20181218;105;20130514;20220511;XSWX;BO;CH;0
1.75 BL KB 10-19;CH0113678400;BLK10;11367840;101.13;;;20181212;101.13;;0;0;CHF;20180122;103.2;20181212;101.27;20100621;20190620;XSWX;BO;CH;0
1.75 BL KB 10-20;CH0118607909;BLK101;11860790;104;;;20190108;104;;0;0;CHF;20180122;105.9;20190108;104;20101104;20201104;XSWX;BO;CH;0
1.75 BL KB 11-24;CH0141833407;BLK11;14183340;110.5;;;20190109;110.5;;0;0;CHF;20180529;111.4;20181114;109.65;20111117;20241119;XSWX;BO;CH;0
1.75 EGW 10-20;CH0118531521;EGW39;11853152;104.2;;;20181129;104.2;;0;0;CHF;20180704;105.5;20181129;104.3;20101101;20201030;XSWX;BO;CH;0
1.75 EGW 11-26;CH0136611800;EGW42;13661180;113.65;;;20190108;113.65;;0;0;CHF;20180404;114.4;20181106;112.25;20110912;20260909;XSWX;BO;CH;0
1.75 EGW 13-28;CH0217579785;EGW47;21757978;115.55;;;20180718;115.55;;0;0;CHF;20180718;114.85;20180419;114.7;20130722;20280719;XSWX;BO;CH;0
1.75 FIRSWSMOB 17-19;CH0357483228;FMS171;35748322;102.6;;;;102.6;;0;0;CHF;;;;;20170411;20191212;XSWX;AS;CH;0
1.75 GIV 14-24;CH0237552101;GIV141;23755210;107.6;;;20190108;107.6;;0;0;CHF;20180320;109.3;20181010;106.95;20140317;20240314;XSWX;BO;CH;0
1.75 GR DI 16-22;CH0319415979;DIX16;31941597;102.8;102.8;102.8;20190111;103;102.8;145000;145000;CHF;20180831;103.55;20180205;101.95;20160510;20220510;XSWX;BO;CH;0
1.75 KT BE 10-25;CH0114695403;BE102;11469540;112.6;;;20181031;112.6;;0;0;CHF;20180621;112.75;20181031;111.55;20100921;20250919;XSWX;BO;CH;0
1.75 KT BL 13-43;CH0214925882;BL131;21492588;124.3;;;20181128;124.4;;0;0;CHF;20180328;125.5;20180803;119;20130624;20430623;XSWX;BO;CH;400000
1.75 KT GE 13-33;CH0208323458;GE131;20832345;116.1;;;20181217;116.1;;0;0;CHF;20180411;116.4;20181015;112.65;20130320;20330317;XSWX;BO;CH;0
1.75 KT GE 13-34;CH0212459561;GE132;21245956;116.65;;;20181115;116.65;;0;0;CHF;20180813;115.8;20181113;113.6;20130522;20340519;XSWX;BO;CH;0
1.75 KT SG 13-28;CH0217825311;SG131;21782531;115.4;;;20190108;115.4;;0;0;CHF;20180529;116.15;20181119;113.25;20130717;20280713;XSWX;BO;CH;0
1.75 LONZA 13-19;CH0209474631;LOF13;20947463;100.44;100.44;100.44;20190111;100.49;100.44;10000;10000;CHF;20180117;102.17;20190111;100.44;20130408;20190405;XSWX;BO;CH;0
1.75 NANTDRA 14-24;CH0245691537;NDD14;24569153;103.3;;;20190109;103.3;;0;0;CHF;20180604;104.1;20180202;101.4;20140716;20240715;XSWX;BO;CH;0
1.75 PB S584 13-25;CH0217756656;PB584;21775665;111.63;;;20181219;111.63;;0;0;CHF;20180529;112.36;20181119;110.25;20160301;20250710;XSWX;PB;CH;10000000
1.75 PEACHP 18-99;CH0417376024;PEA23;41737602;95;95;94.95;20190111;94;94.95;200000;200000;CHF;20180627;101;20181227;92.5;20180625;;XSWX;CB;CH;0
1.75 PEACHP 18-99  /Z;CH0417376040;PEA231;41737604;90;;;20181228;88;;0;0;CHF;20180716;100.1;20181228;88;20180625;;XSWX;BE;CH;0
1.75 PZ S404 10-19;CH0119015060;PZ404;11901506;102;;;20190103;102;;0;0;CHF;20180130;104.06;20190103;102;20160301;20191029;XSWX;PB;CH;50055000
1.75 PZ S413 11-26;CH0136847156;PZ413;13684715;112.68;;;20181220;112.68;;0;0;CHF;20180704;112.68;20181101;110.88;20160301;20260827;XSWX;PB;CH;0
1.75 PZ S436 13-26;CH0218517891;PZ436;21851789;112.19;;;20181219;112.19;;0;0;CHF;20180528;112.43;20181010;110.42;20160301;20260220;XSWX;PB;CH;0
1.75 SCM 12-24;CH0188335365;SCM12;18833536;109.55;;;20190109;109.55;;0;0;CHF;20180118;110.65;20181012;108.2;20120706;20240705;XSWX;BO;CH;0
1.75 SGS 14-24;CH0236122740;SGS14;23612274;108.05;108.05;108;20190111;107.9;108;200000;200000;CHF;20180201;109.7;20181113;106.9;20140225;20240222;XSWX;BO;CH;0
1.75 SHKB 13-25;CH0224923513;SKB132;22492351;112;;;20181129;112;;0;0;CHF;20180406;111.8;20180419;111.05;20131024;20251023;XSWX;BO;CH;0
1.75 SIKA 12-22;CH0186164007;SIK121;18616400;105.65;;;20190110;105.65;;0;0;CHF;20180301;107.35;20190110;105.65;20120710;20220707;XSWX;BO;CH;0
1.75 SPS 14-21;CH0234274493;SPS14;23427449;102.85;;;20190110;102.85;;0;0;CHF;20180117;105.3;20190110;102.85;20140414;20210413;XSWX;BO;CH;0
1.75 St. LU 13-43;CH0205500017;LUG13;20550001;114.8;;;20181227;114.8;;0;0;CHF;20180420;114.5;20180614;111.65;20130218;20430217;XSWX;BO;CH;0
1.75 TEMENOS 17-24;CH0360172735;TEM17;36017273;99.95;99.95;99.55;20190111;99.9;99.6;500000;500000;CHF;20180115;103;20181212;97.9;20170403;20240403;XSWX;BO;CH;0
1.75 TG KB 13-24;CH0222261494;TGK131;22226149;110.35;110.35;110.35;20190111;110.45;110.35;50000;50000;CHF;20180117;111.05;20180424;109.75;20130926;20240923;XSWX;BO;CH;0
1.75 ZG KB 10-19;CH0120057804;ZG101;12005780;102.14;;;20190108;102.14;;0;0;CHF;20180118;104.1;20190108;102.14;20101125;20191128;XSWX;BO;CH;0
1.75 ZH 14-29;CH0236516834;ZUR141;23651683;114.3;;;20181207;114.3;;0;0;CHF;20180703;114.1;20181008;111.8;20140304;20290301;XSWX;BO;CH;0
1.80 KT TI 13-43;CH0212114653;TI131;21211465;121.65;;;20181116;121.8;;0;0;CHF;20180418;120.75;20181116;117.05;20130513;20430512;XSWX;BO;CH;0
1.875  MESSEHCH 18-23;CH0373476735;MCH18;37347673;92;92;92;20190111;92.25;92;25000;25000;CHF;20180713;101.35;20181210;86.1;20180515;20230512;XSWX;BO;CH;100000
1.875 BKB 10-26;CH0118095667;BSK10;11809566;113.65;;;20181129;113.65;;0;0;CHF;20180115;114.25;20180518;112.6;20101021;20261021;XSWX;BO;CH;0
1.875 BOEN 18-23;CH0410370016;BUB18;41037001;100.25;100.25;99.5;20190111;99.5;99.5;35000;35000;CHF;20180814;102.35;20181213;98.5;20180522;20230517;XSWX;BO;CH;0
1.875 COMET 16-21;CH0320619437;COT16;32061943;100.7;100.7;100.7;20190111;100.3;100.7;20000;20000;CHF;20180411;103.4;20181119;98.6;20160418;20210416;XSWX;BO;CH;0
1.875 GZO AG 14-24;CH0240109618;GZO14;24010961;107.1;;;20190110;107.1;;0;0;CHF;20180529;109.45;20181109;106.4;20140610;20240607;XSWX;BO;CH;200000
1.875 KT BS 10-19;CH0112933756;BS10;11293375;101.01;;;20190107;101.02;;0;0;CHF;20180308;103.1;20190107;101.02;20100528;20190527;XSWX;BO;CH;0
1.875 KT TI 13-38;CH0207413185;TI13;20741318;119.85;;;20190109;119.85;;0;0;CHF;20180411;121.2;20180308;118;20130314;20380315;XSWX;BO;CH;490000
1.875 KUD 15-22;CH0280695930;KUD15;28069593;80;80;79.05;20190111;80;79.05;150000;435000;CHF;20180207;102.8;20190104;68.75;20150508;20220810;XSWX;BO;CH;0
1.875 KW OBERH 13-25;CH0200044805;OBE13;20004480;108.25;;;20181221;108.25;;0;0;CHF;20180118;108.75;20180226;106.85;20130219;20250218;XSWX;BO;CH;0
1.875 LU KB 10-20;CH0114261446;LUK10;11426144;103.54;;;20181220;103.55;;0;0;CHF;20180226;105.55;20181220;103.55;20100628;20200625;XSWX;BO;CH;0
1.875 LU KB 10-35;CH0119983077;LUK101;11998307;118.4;;;20190110;118.5;;0;0;CHF;20180116;118.95;20181001;115;20101123;20351121;XSWX;BO;CH;0
1.875 MOBN 14-24;CH0252379802;MOB141;25237980;106.7;;;20190110;106.7;;0;0;CHF;20180118;108.25;20181011;105.65;20140912;20240911;XSWX;BO;CH;0
1.875 PB S518 10-20;CH0115967389;PB518;11596738;103.28;;;20190109;103.28;;0;0;CHF;20180124;105.48;20190109;103.28;20160301;20200508;XSWX;PB;CH;0
1.875 PB S524 10-31;CH0117076379;PB524;11707637;116.72;;;20181228;116.72;;0;0;CHF;20180117;118.57;20181012;113.44;20160301;20310910;XSWX;PB;CH;0
1.875 SCCISS 18-21;CH0417086110;SCC182;41708611;100;;;;100;;0;0;CHF;;;;;20180613;20210611;XSWX;AS;CH;0
1.875 SIKA 13-23;CH0224761517;SIK131;22476151;107.9;;;20190109;107.95;;0;0;CHF;20180319;109.4;20181126;107.6;20131112;20231109;XSWX;BO;CH;0
1.875 SLH 13-23;CH0212184078;SWL131;21218407;107.5;;;20190109;107.5;;0;0;CHF;20180206;109.1;20181011;106.75;20130619;20230616;XSWX;BO;CH;0
1.875 SPITLI 13-23;CH0227694574;SLS13;22769457;110.1;;;20181206;110.1;;0;0;CHF;20180119;111.55;20181119;109.5;20131127;20231124;XSWX;BO;CH;0
1.875 TEMENOS 18-23 /Z;CH0446595628;TEM18;44659562;100.4;100.45;99.95;20190111;100;100.45;160000;165000;CHF;20190103;100.75;20181206;99.6;20181128;20231128;XSWX;BO;CH;0
1.875 WTHUR 12-37;CH0182337334;WIN12;18233733;118.75;;;20180427;118.8;;0;0;CHF;20180427;117.55;20180427;117.3;20120418;20370415;XSWX;BO;CH;0
1.875 ZG KB 10-20;CH0117615143;ZG10;11761514;104.15;;;20190104;104.15;;0;0;CHF;20180329;105.9;20190104;104.15;20100930;20201009;XSWX;BO;CH;0
1.875 ZVG 13-23;CH0222705987;ZVG131;22270598;108.45;;;20181221;108.45;;0;0;CHF;20180126;110;20181130;107.65;20130917;20230913;XSWX;BO;CH;0
2 AEVISVICT 16-22;CH0337829276;AEV161;33782927;99.1;99.25;98.55;20190111;99;99;310000;310000;CHF;20180219;103.3;20180612;98;20161017;20221017;XSWX;BO;CH;0
2 ALL 13-20;CH0222136654;ALL13;22213665;103.1;;;20181228;103.1;;0;0;CHF;20180320;105.2;20181228;103.1;20130919;20200918;XSWX;BO;CH;0
