ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
2.75 CFCB 05-20;CH0020371065;EEP05;2037106;103.65;;;20181205;103.65;;0;0;CHF;20180912;104.7;20181205;103.6;20050131;20200204;XSWX;BO;LU;0
2.75 CFCB 07-22;CH0028622600;EEP07;2862260;109.3;;;20180803;109.3;;0;0;CHF;20180803;109.8;20180423;108.85;20070202;20220204;XSWX;BO;LU;0
2.75 GAZPROM 16-21;CH0346828400;GAZ17;34682840;103;103;103;20190111;103.25;103;50000;50000;CHF;20180406;106.95;20180410;101.85;20161129;20211126;XSWX;BO;RU;0
2.75 HAABK 07-17;CH0028623145;HAA071;2862314;105.1;;;20180919;105.1;;0;0;CHF;20180919;100.2;20180919;100.2;20150813;20190806;XSWX;BO;AT;0
2.75 HFI 05-20;CH0020393150;EHL05;2039315;103.55;103.55;103.55;20190111;103.6;103.55;20000;20000;CHF;20180316;105;20190111;103.55;20050203;20200204;XSWX;BO;LU;0
2.75 HSBC 11-21;CH0126453718;HSG111;12645371;110.4;;;;110.4;;0;0;CHF;;;;;20110330;20210329;XSWX;BO;GB;0
2.75 IADB 09-19;CH0100683017;IDB09;10068301;100.93;;;20181213;100.94;;0;0;CHF;20180227;104.1;20181213;101.15;20090409;20190410;XSWX;BO;US;0
2.75 ICICI 13-20;CH0202406440;CIC12;20240644;101.51;;;20181228;101.51;;0;0;CHF;20180201;104.75;20181106;101.47;20130104;20191230;XSWX;BO;AE;0
2.75 KFW 07-37;CH0029008809;KFW07;2900880;138.95;;;20180903;138.95;;0;0;CHF;20180903;136.6;20180903;136.6;20070214;20370211;XSWX;BO;DE;100000
2.75 NETRAIL 06-21;CH0026950078;NRI06;2695007;108.9;;;20190109;108.9;;0;0;CHF;20180411;111.1;20190109;108.9;20060929;20211001;XSWX;BO;GB;0
